2013-11-29T00:00:00,2013-11-29T23:59:59,slit pos err
2013-12-04T00:00:00,2013-12-04T23:59:59,EUV star
2013-12-10T00:00:00,2013-12-10T23:59:59,EUV star
2014-01-07T00:00:00,2014-01-07T23:59:59,EUV star
2014-01-14T00:00:00,2014-01-14T23:59:59,EUV star
2014-01-15T00:00:00,2014-01-15T23:59:59,EUV star
2014-01-31T00:00:00,2014-01-31T23:59:59,slit pos err
2014-02-10T00:00:00,2014-02-10T23:59:59,reset
2014-02-11T00:00:00,2014-02-11T23:59:59,reset? EUV star
2014-03-04T00:00:00,2014-03-04T23:59:59,slit pos err
2014-03-05T00:00:00,2014-03-05T23:59:59,slit pos err
2014-04-07T00:00:00,2014-04-07T23:59:59,reset
2014-04-08T00:00:00,2014-04-08T23:59:59,reset
2014-04-09T00:00:00,2014-04-09T23:59:59,reset
2014-04-10T00:00:00,2014-04-10T23:59:59,EUV star
2014-04-11T00:00:00,2014-04-11T23:59:59,EUV star
2014-04-24T00:00:00,2014-04-24T23:59:59,Venus
2014-11-04T00:00:00,2014-11-04T23:59:59,nodata
2014-11-08T00:00:00,2014-11-08T23:59:59,slit pos err
2014-11-09T00:00:00,2014-11-09T23:59:59,slit pos err
2014-12-26T00:00:00,2014-12-26T23:59:59,EUV star
2015-02-22T00:00:00,2015-02-22T23:59:59,slit pos err
2015-12-23T00:00:00,2015-12-23T23:59:59,nodata
2015-12-30T00:00:00,2015-12-30T23:59:59,nodata
2015-03-25T00:00:00,2015-03-25T23:59:59,noHKdata
2015-04-18T00:00:00,2015-04-18T23:59:59,noHKdata
2016-03-02T00:00:00,2016-03-02T23:59:59,EUV star
2016-03-03T00:00:00,2016-03-03T23:59:59,EUV star
2016-03-05T10:53:48,2016-03-05T12:39:56,nodata**
2016-04-13T00:00:00,2016-04-13T23:59:59,nodata
2016-04-24T00:00:00,2016-04-24T23:59:59,EUV star
2016-04-26T00:00:00,2016-04-26T23:59:59,nodata
2016-05-27T00:00:00,2016-05-27T23:59:59,nodata
2016-06-03T04:54:52,2016-06-03T06:41:00,nodata**
2016-06-04T03:55:08,2016-06-04T05:41:48,nodata**
#2016-10-24T09:10:41,2016-10-24T09:46:41,move 
#2016-10-24T14:07:41,2016-10-24T14:59:41,move 
#2016-11-06T23:51:56,2016-11-07T01:38:04,Double peak**
#2016-11-20T04:43:40,2016-11-20T06:29:48,torus peak detected**
2016-11-22T00:00:00,2016-11-22T23:59:59,EUV star
2016-12-01T00:00:00,2016-12-01T23:59:59,EUV star?
2017-02-06T21:12:27,2017-02-06T22:58:03,nodata**
2017-03-14T23:23:08,2017-03-16T00:50:30,EUV star
2017-06-27T00:00:00,2017-06-27T23:59:59,slit pos err
2017-06-28T00:00:00,2017-06-28T23:59:59,slit pos err
2017-06-29T00:00:00,2017-06-29T23:59:59,slit pos err
2017-07-27T00:21:15,2017-07-27T02:07:55,nodata**
#2017-07-31T03:27:55,2017-07-31T07:01:15,move***
2017-09-03T00:00:00,2017-09-03T13:35:06,EUVstar
2017-09-06T16:00:00,2017-09-06T20:37:03,nodata
2017-11-30T00:00:00,2017-11-30T23:59:59,nodata
2017-12-01T00:00:00,2017-12-01T23:59:59,nodata
2018-01-06T22:55:55,2018-01-07T00:42:35,nodata***
2018-01-07T00:00:00,2018-01-07T23:59:59,nodata
2018-01-08T00:00:00,2018-01-08T23:59:59,nodata
2018-01-09T00:00:00,2018-01-09T23:59:59,nodata
2018-01-10T00:00:00,2018-01-10T23:59:59,nodata
2018-01-11T00:00:00,2018-01-11T23:59:59,nodata
2018-02-11T02:13:33,2018-02-11T23:59:59,nodata
2018-03-04T09:20:11,2018-03-04T22:45:11,nodata
2018-03-05T08:21:00,2018-03-05T23:32:00,nodata
2018-03-06T09:08:30,2018-03-06T22:32:30,nodata
2018-04-03T05:13:00,2018-04-03T23:00:00,nodata
##2018-06-07T15:33:15,2018-06-07T17:18:51,torus peak detected
#2018-06-09T06:29:15,2018-06-09T08:15:55,torus peak detected
#2018-06-28T15:55:39,2018-06-28T17:42:19,torus peak detected
#2018-07-01T07:39:39,2018-07-01T09:25:15,torus peak detected
2018-07-28T00:00:00,2018-07-28T23:59:59,nodata
2018-07-29T00:00:00,2018-07-29T23:59:59,nodata
2018-07-30T00:00:00,2018-07-30T23:59:59,nodata
2018-07-31T00:00:00,2018-07-31T23:59:59,nodata
2018-08-01T00:00:00,2018-08-01T23:59:59,nodata
2018-08-02T00:00:00,2018-08-02T11:19:23,nodata***
2018-08-09T00:00:00,2018-08-09T23:59:59,lost jupiter
2018-08-10T00:00:00,2018-08-10T23:59:59,lost jupiter
2018-08-11T00:00:00,2018-08-11T23:59:59,lost jupiter
2018-08-12T00:00:00,2018-08-12T23:59:59,lost jupiter
2018-08-13T00:00:00,2018-08-13T23:59:59,lost jupiter
2018-08-14T00:00:00,2018-08-14T23:59:59,lost jupiter
2018-08-15T00:00:00,2018-08-15T23:59:59,lost jupiter
2018-08-16T00:00:00,2018-08-16T23:59:59,lost jupiter
2018-08-24T00:00:00,2018-08-24T23:59:59,lost jupiter
2018-08-25T00:00:00,2018-08-25T23:59:59,lost jupiter
2018-08-26T00:00:00,2018-08-26T23:59:59,lost jupiter
2018-08-27T00:00:00,2018-08-27T23:59:59,lost jupiter
2018-08-28T00:00:00,2018-08-28T23:59:59,lost jupiter
2018-08-29T00:00:00,2018-08-29T23:59:59,lost jupiter
2018-08-30T00:00:00,2018-08-30T23:59:59,EUV star
2018-09-07T00:00:00,2018-09-07T23:59:59,lost jupiter
2018-09-08T00:00:00,2018-09-08T23:59:59,lost jupiter
2018-09-09T00:00:00,2018-09-09T23:59:59,lost jupiter
2018-09-10T00:00:00,2018-09-10T23:59:59,lost jupiter
2018-09-11T00:00:00,2018-09-11T23:59:59,lost jupiter
2018-09-12T00:00:00,2018-09-12T23:59:59,lost jupiter
#2018-09-13T00:00:00,2018-09-13T23:59:59,move 
2018-09-14T00:00:00,2018-09-14T23:59:59,lost jupiter
2018-09-15T00:00:00,2018-09-15T23:59:59,lost jupiter
2018-09-20T00:00:00,2018-09-20T23:59:59,EUV star
2018-09-21T00:00:00,2018-09-21T23:59:59,EUV star
#2018-09-23T02:17:31,2018-09-23T04:04:11,torus peak detected
#2018-09-23T09:23:07,2018-09-23T11:08:43,torus peak detected
2018-10-20T00:00:00,2018-10-20T23:59:59,lost jupiter
2018-10-21T00:00:00,2018-10-21T23:59:59,lost jupiter
2018-10-22T00:00:00,2018-10-22T23:59:59,lost jupiter
2018-10-23T00:00:00,2018-10-23T23:59:59,lost jupiter
2018-10-24T00:00:00,2018-10-24T23:59:59,lost jupiter
2018-10-25T00:00:00,2018-10-25T09:06:42,lost jupiter
2018-12-30T00:00:00,2018-12-30T23:59:59,nodata
